# Lux 7777 Delta Allocations for X-Chain
# These are addresses that held LUX on chain 7777 but were never migrated to 96369 mainnet
# Generated: 2025-07-23
# Total Addresses: 69
# Total LUX Amount: 2,023,306,456.547631502151489258 LUX
# Description: These addresses should be allocated on X-Chain as they were overlooked during the 7777->96369 migration
#
address,balance_lux,balance_wei,description
0x0028a38bf8ea13e90877612a4c349be55c0c8b1f,0.702989995000000034,702989995000000000,Lux 7777 holder not migrated to 96369
0x02ef9648c9d0e3837e976eb754e14a3b90a2abd1,1.000000000000000000,1000000000000000000,Lux 7777 holder not migrated to 96369
0x0c00244bd6c732cc2e9824805bb79a85ffaebf3f,0.700022539500000041,700022539500000000,Lux 7777 holder not migrated to 96369
0x12c6ee1d226225756f57b75957d2bf3ab2e8597e,0.998684429500000026,998684429500000000,Lux 7777 holder not migrated to 96369
0x1714c42cd87e4656a575041e27462d6b860000f6,40433.999474999996891711,40433999474999999979000,Lux 7777 holder not migrated to 96369
0x187aa02e0b1e353f09939b9a82aab49eab3d92dc,0.698757209000000046,698757209000000000,Lux 7777 holder not migrated to 96369
0x1990da4015f39a6a9e0ba9d334e940d7a017cf39,1208216.076510858256369829,1208216076510858202737203,Lux 7777 holder not migrated to 96369
0x1eb0b3e6cb2de3b25b45d6e49c33e683271d7bd5,13977.054305952586219064,13977054305952586503209,Lux 7777 holder not migrated to 96369
0x20b1ba8c79de32bc63fae44d7c2762f55e420160,5.420026108656282204,5420026108656282572,Lux 7777 holder not migrated to 96369
0x298896854cba6c5009be9824e4fca5b479a79c61,231242.139042974740732461,231242139042974735665487,Lux 7777 holder not migrated to 96369
0x2ff076419c2b1c39f947f787141df30096dc6302,225.795680315999987897,225795680316000000000,Lux 7777 holder not migrated to 96369
0x30853af705bd32ce74b936a1a934f711ed6ce45e,584.122724631499977477,584122724631500000000,Lux 7777 holder not migrated to 96369
0x31a7fc3f8ed643baf9deb35bfe592d97987692e5,3.344703935379616411,3344703935379616486,Lux 7777 holder not migrated to 96369
0x34a2ed5859d507024e3a947d94970360d3797be4,511.999474999999961256,511999474999999979000,Lux 7777 holder not migrated to 96369
0x3c6e4032509aa8c57403c9a48dbaeac1d359bc49,1.498185224999927456,1498185224999927409,Lux 7777 holder not migrated to 96369
0x3e568e1ce1c5296abd18effd5f42249999d01070,2.793479514835091937,2793479514835091867,Lux 7777 holder not migrated to 96369
0x431164c9602f7db8c9f12d99400f2aec0ae75f2c,0.008060825000322434,8060825000322433,Lux 7777 holder not migrated to 96369
0x43794a4baea98e3dc3abc04f520f6530561ea088,4.599299738476448240,4599299738476448651,Lux 7777 holder not migrated to 96369
0x4e4f6ea7bbda013c409acbd9fb1eb47b58b6dd1f,1.051309763075428449,1051309763075428414,Lux 7777 holder not migrated to 96369
0x542bc5d9068c80a44b89a8ddeeb190326bd0d051,1000000001.000000000000000000,1000000001000000000000000000,Lux 7777 holder not migrated to 96369
0x5866b1f8016250e2d562041a60839e3cba29c09b,1000000.996628975030034781,1000000996628974999865159,Lux 7777 holder not migrated to 96369
0x5cbb396da3930115a081c9b290e6803da7b82a25,14017.392155590843685786,14017392155590844183812,Lux 7777 holder not migrated to 96369
0x7337840b9d8cf2c78295fbc3373f6cea9cb9f286,298387.521383883082307875,298387521383883095330526,Lux 7777 holder not migrated to 96369
0x75210322ac566aaf2a259aabf5da1b226bc71ef1,5.905041020999999724,5905041021000000000,Lux 7777 holder not migrated to 96369
0x783449de8dd99154c9ed10d0cac51944c38a2fbf,224.686390108000011878,224686390108000000000,Lux 7777 holder not migrated to 96369
0x794ca6947c3ce69a982a3275d1db62f18b9daf5e,297.448772496000003684,297448772496000000000,Lux 7777 holder not migrated to 96369
0x81a65b46b1f0d29a0c7c32fe1c53661e8898b772,100.000000000000000000,100000000000000000000,Lux 7777 holder not migrated to 96369
0x846c9c12c9f0e38b1c25f0ad318a70617d8feb57,1.509192140185496855,1509192140185496774,Lux 7777 holder not migrated to 96369
0x84ce16fb62feced7f4c56d01a596e662dbff38c8,3039.998950000000149885,3039998949999999958000,Lux 7777 holder not migrated to 96369
0x887c53d3c339a2ee0a62029a8f92ae3ad818ef44,6.517663703000000197,6517663703000000000,Lux 7777 holder not migrated to 96369
0x8c77cee59c3a49724b4aef4e8f241627de6ad4e1,0.090581124999623244,90581124999623245,Lux 7777 holder not migrated to 96369
0x8fb09acdb02308691f2e0afa5f7f6202aef1e815,0.698138282000000054,698138282000000000,Lux 7777 holder not migrated to 96369
0x91bb0ed981e9436580c17557fe95ce8602b417dd,1000181073.785179018974304199,1000181073785179045465114341,Lux 7777 holder not migrated to 96369
0x920868c7a5f52d9c8c73697ad3b2f80f35ac66ff,0.700090286500000047,700090286500000000,Lux 7777 holder not migrated to 96369
0x9272ba300bb550afaa9d11f1a03340527cea89ea,2.134629143713059118,2134629143713059306,Lux 7777 holder not migrated to 96369
0x9965a41912a874ed1196b6f012a8649cb30e0f82,297.415311900000006062,297415311900000000000,Lux 7777 holder not migrated to 96369
0xa105a413c349b175d8b445da814a6a766843f6ac,5557054.226660310290753841,5557054226660310189171037,Lux 7777 holder not migrated to 96369
0xa4ec9b6a4cd151a68f2e7da45e50a400e77be4f2,6.000795862000000369,6000795862000000000,Lux 7777 holder not migrated to 96369
0xa5e39370db5caa090e9e54c43628148989e7d7c1,225.580244850000013912,225580244850000000000,Lux 7777 holder not migrated to 96369
0xa65e2940ee437ba7a3b3c3e83c94548276c19494,583.625938633000032496,583625938633000000000,Lux 7777 holder not migrated to 96369
0xa766cf69749349e7a11e49eab7c6c11f652704d3,1.224337399663980142,1224337399663980117,Lux 7777 holder not migrated to 96369
0xa8e216efa99fab75120f07a021779f5437a4601e,1292580.348375229397788644,1292580348375229289980872,Lux 7777 holder not migrated to 96369
0xadde1b334b4a5f9679659889332a3bab274f7a31,1.000000000000000000,1000000000000000000,Lux 7777 holder not migrated to 96369
0xb38abec154b77bd03e0366b8a9336eb408717974,0.700374878500000020,700374878500000000,Lux 7777 holder not migrated to 96369
0xb4440508f1a2af6001efadd7744e67fe52ebeb26,0.705564144500000046,705564144500000000,Lux 7777 holder not migrated to 96369
